Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Castlevania: Harmony of Dissonance,GBA,2002,Platform,Konami Digital Entertainment,0.16,0.06,0.04,0,0.26
Tennis no Oji-Sama: Genius Boys Academy,GBA,2002,Sports,Konami Digital Entertainment,0,0,0.24,0.01,0.25
Frogger's Adventures 2: The Lost Wand,GBA,2002,Adventure,Konami Digital Entertainment,0.14,0.05,0,0,0.19
K-1 World Grand Prix,PS2,2002,Sports,Konami Digital Entertainment,0.04,0.03,0.1,0.01,0.18
Silent Scope 3,PS2,2002,Shooter,Konami Digital Entertainment,0.08,0.06,0,0.02,0.16
Tennis no Oji-Sama: Aim at The Victory!,GBA,2002,Sports,Konami Digital Entertainment,0,0,0.14,0,0.14
Frogger Beyond,GC,2002,Platform,Konami Digital Entertainment,0.1,0.03,0,0,0.13
World Soccer Winning Eleven 2002,PS,2002,Sports,Konami Digital Entertainment,0,0,0.12,0.01,0.13
Jikkyou Powerful Pro Yakyuu 9,GC,2002,Sports,Konami Digital Entertainment,0,0,0.11,0,0.12
Contra Advance: The Alien Wars EX,GBA,2002,Shooter,Konami Digital Entertainment,0.08,0.03,0,0,0.11
Jikkyou Powerful Pro Yakyuu 9 Ketteiban,PS2,2002,Sports,Konami Digital Entertainment,0,0,0.09,0,0.09
Captain Tsubasa: Aratanaru Densetsu Joshou,PS,2002,Sports,Konami Digital Entertainment,0,0,0.08,0.01,0.09
Tokimeki Memorial: Girl's Side,PS2,2002,Adventure,Konami Digital Entertainment,0,0,0.08,0,0.08
Frogger Beyond,XB,2002,Platform,Konami Digital Entertainment,0.06,0.02,0,0,0.08
Disney Sports Skateboarding,GBA,2002,Sports,Konami Digital Entertainment,0.05,0.02,0,0,0.07
Hikaru no Go: Heian Gensou Ibunroku,PS,2002,Adventure,Konami Digital Entertainment,0,0,0.06,0,0.07
Frogger Advance: The Great Quest,GBA,2002,Action,Konami Digital Entertainment,0.05,0.02,0,0,0.07
Metal Gear Solid: Social Ops,PS2,2002,Action,Konami Digital Entertainment,0.03,0.02,0,0.01,0.06
Disney Sports Skateboarding,GC,2002,Sports,Konami Digital Entertainment,0.05,0.01,0,0,0.06
ESPN International Winter Sports 2002,PS2,2002,Sports,Konami Digital Entertainment,0.03,0.02,0,0.01,0.06
Rave Master,GC,2002,Fighting,Konami Digital Entertainment,0,0,0.05,0,0.05
ESPN International Winter Sports 2002,GC,2002,Sports,Konami Digital Entertainment,0.04,0.01,0,0,0.05
Evolution Skateboarding,GC,2002,Sports,Konami Digital Entertainment,0.03,0.01,0,0,0.04
Jikkyou World Soccer 2002,PS2,2002,Sports,Konami Digital Entertainment,0,0,0.04,0,0.04
Silent Scope,GBA,2002,Shooter,Konami Digital Entertainment,0.02,0.01,0,0,0.03
ESPN NBA 2Night 2002,PS2,2002,Sports,Konami Digital Entertainment,0.02,0.01,0,0,0.03
Disney Sports Soccer,GC,2002,Sports,Konami Digital Entertainment,0.03,0.01,0,0,0.03
Whiteout,XB,2002,Racing,Konami Digital Entertainment,0.02,0.01,0,0,0.03
ESPN Winter X Games: Snowboarding 2002,XB,2002,Sports,Konami Digital Entertainment,0.02,0.01,0,0,0.03
Disney Sports Soccer,GBA,2002,Sports,Konami Digital Entertainment,0.02,0.01,0,0,0.03
NBA Starting Five,XB,2002,Sports,Konami Digital Entertainment,0.02,0.01,0,0,0.02
AirForce Delta Storm,GBA,2002,Shooter,Konami Digital Entertainment,0.02,0.01,0,0,0.02
Evolution Snowboarding,PS2,2002,Sports,Konami Digital Entertainment,0.01,0.01,0,0,0.02
Whiteout,PS2,2002,Racing,Konami Digital Entertainment,0.01,0.01,0,0,0.02
ESPN MLS ExtraTime 2002,GC,2002,Sports,Konami Digital Entertainment,0.02,0,0,0,0.02
ESPN MLS ExtraTime 2002,XB,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.02
ESPN NFL Primetime 2002,XB,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.02
Disney Sports Basketball,GBA,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.02
Disney Sports Football,GC,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.02
WTA Tour Tennis,GBA,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.02
WTA Tour Tennis,XB,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.01
Rave Master: Special Attack Force!,GBA,2002,Fighting,Konami Digital Entertainment,0.01,0,0,0,0.01
ESPN NBA 2Night 2002,XB,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.01
LEGO Island Xtreme Stunts,GBA,2002,Racing,LEGO Media,0.1,0.04,0,0,0.14
Fire Emblem: Fuuin no Tsurugi,GBA,2002,Role-Playing,Nintendo,0,0,0.39,0,0.39
Pac-Man World 2,GC,2002,Action,Nintendo,0.28,0.07,0,0.01,0.37
Hamtaro: Ham-Ham Heartbreak,GBA,2002,Action,Nintendo,0.26,0.1,0,0.01,0.36
NBA Courtside 2002,GC,2002,Sports,Nintendo,0.19,0.05,0,0.01,0.25
Disney's Magical Quest Starring Mickey and Minnie,GBA,2002,Action,Nintendo,0.16,0.06,0,0,0.22
Disney's Magical Mirror Starring Mickey Mouse,GC,2002,Adventure,Nintendo,0.15,0.04,0,0.01,0.19
Cubivore: Survival of the Fittest,GC,2002,Adventure,Nintendo,0.01,0,0.15,0,0.17
Doshin the Giant,GC,2002,Simulation,Nintendo,0,0,0.14,0,0.14
Million God,PS2,2002,Misc,Nippon Amuse,0,0,0.09,0,0.09
Lowrider,PS2,2002,Misc,Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26
Phantom Crash,XB,2002,Simulation,Phantagram,0.03,0.01,0.01,0,0.05
Seek and Destroy,PS2,2002,Racing,Play It,0.52,0.4,0,0.14,1.06
Road Trip,PS2,2002,Racing,Play It,0.04,0.03,0,0.01,0.09
The King of Fighters 2000,PS2,2002,Fighting,Playmore,0,0,0.04,0,0.04
Natsuiro no Sunadokei,PS2,2002,Adventure,Princess Soft,0,0,0.02,0,0.02
Rocky,PS2,2002,Fighting,Rage Software,0.42,0.33,0,0.11,0.86
Rocky,XB,2002,Fighting,Rage Software,0.11,0.03,0,0.01,0.15
Gun Metal,XB,2002,Shooter,Rage Software,0.08,0.02,0,0,0.11
Rocky,GC,2002,Fighting,Rage Software,0.07,0.02,0,0,0.09
Totaled!,XB,2002,Racing,Rage Software,0.05,0.02,0,0,0.07
Smuggler's Run,GBA,2002,Racing,Rebellion,0.01,0,0,0,0.01
Guilty Gear X2,PS2,2002,Fighting,Sammy Corporation,0.09,0.07,0.16,0.02,0.35
Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,2002,Misc,Sammy Corporation,0,0,0.28,0,0.28
Jissen Pachi-Slot Hisshouhou! Aladdin A,PS2,2002,Misc,Sammy Corporation,0,0,0.2,0,0.2
Galerians: Ash,PS2,2002,Adventure,Sammy Corporation,0.03,0.03,0,0.01,0.07
Guilty Gear X: Advance Edition,GBA,2002,Fighting,Sammy Corporation,0.04,0.02,0,0,0.06
Conflict: Desert Storm,XB,2002,Shooter,SCi,0.48,0.37,0,0.02,0.87
Virtua Fighter 4,PS2,2002,Fighting,Sega,0.78,0.44,0.56,0.04,1.81
Sonic Advance 2,GBA,2002,Platform,Sega,0.93,0.59,0.21,0.07,1.8
NBA 2K2,PS2,2002,Sports,Sega,0.59,0.46,0.01,0.15,1.22
NBA 2K3,PS2,2002,Sports,Sega,0.51,0.4,0,0.13,1.05
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,Sports,Sega,0,0,0.55,0,0.55
NFL 2K3,XB,2002,Sports,Sega,0.38,0.11,0,0.02,0.52
The House of The Dead III,XB,2002,Shooter,Sega,0.29,0.08,0,0.01,0.39
Headhunter,PS2,2002,Action,Sega,0.19,0.15,0,0.05,0.38
NBA 2K3,XB,2002,Sports,Sega,0.24,0.07,0,0.01,0.32
"Sakura Wars 4: Koi Seyo,Otome",DC,2002,Adventure,Sega,0,0,0.29,0,0.29
Panzer Dragoon Orta,XB,2002,Shooter,Sega,0.16,0.05,0.04,0.01,0.26
NCAA College Basketball 2K3,PS2,2002,Sports,Sega,0.12,0.09,0,0.03,0.24
World Series Baseball,XB,2002,Sports,Sega,0.17,0.05,0,0.01,0.23
NFL 2K3,GC,2002,Sports,Sega,0.17,0.04,0,0.01,0.22
JSRF: Jet Set Radio Future,XB,2002,Action,Sega,0.13,0.04,0.03,0.01,0.21
NHL 2K3,PS2,2002,Sports,Sega,0.1,0.08,0,0.03,0.21
Crazy Taxi 3: High Roller,XB,2002,Racing,Sega,0.14,0.04,0.02,0.01,0.2
NBA 2K2,XB,2002,Sports,Sega,0.15,0.04,0,0.01,0.2
Sega GT 2002,XB,2002,Racing,Sega,0.12,0.03,0.03,0.01,0.19
NFL 2K2,XB,2002,Sports,Sega,0.13,0.04,0,0.01,0.18
SEGA Bass Fishing Duel,PS2,2002,Sports,Sega,0.09,0.07,0,0.02,0.17
Backyard Baseball,PS2,2004,Sports,Atari,0.24,0.19,0,0.06,0.49
Godzilla: Save the Earth,PS2,2004,Fighting,Atari,0.23,0.18,0,0.06,0.47
Atari Anthology,PS2,2004,Misc,Atari,0.33,0.01,0,0.05,0.4
RollerCoaster Tycoon 3,PC,2004,Strategy,Atari,0.01,0.22,0,0.05,0.28
Dragon Ball Z: Budokai 2,GC,2004,Fighting,Atari,0.21,0.06,0,0.01,0.27
Duel Masters,PS2,2004,Strategy,Atari,0.13,0.1,0,0.03,0.27
Atari Anthology,XB,2004,Misc,Atari,0.19,0.05,0,0.01,0.25
Test Drive: Eve of Destruction,PS2,2004,Racing,Atari,0.11,0.09,0,0.03,0.23
Duel Masters: Kaijudo Showdown,GBA,2004,Misc,Atari,0.16,0.06,0,0,0.22
Unreal II: The Awakening,XB,2004,Shooter,Atari,0.17,0.04,0,0.01,0.21
Beyblade G-Revolution,GBA,2004,Action,Atari,0.15,0.05,0,0,0.2
Forgotten Realms: Demon Stone,PS2,2004,Action,Atari,0.1,0.08,0,0.03,0.2
Trivial Pursuit unhinged,PS2,2004,Misc,Atari,0.09,0.07,0,0.02,0.19
Backyard Basketball,GBA,2004,Sports,Atari,0.13,0.05,0,0,0.18
Terminator 3: The Redemption,PS2,2004,Shooter,Atari,0.08,0.06,0,0.02,0.17
Shadow Ops: Red Mercury,XB,2004,Shooter,Atari,0.11,0.03,0,0.01,0.15
Godzilla: Save the Earth,XB,2004,Fighting,Atari,0.1,0.03,0,0,0.14
Dead Man's Hand,XB,2004,Shooter,Atari,0.09,0.02,0,0,0.11
Yu Yu Hakusho: Tournament Tactics,GBA,2004,Strategy,Atari,0.08,0.03,0,0,0.11
Digimon Rumble Arena 2,PS2,2004,Fighting,Atari,0.05,0.04,0,0.01,0.09
Trivial Pursuit unhinged,XB,2004,Misc,Atari,0.07,0.02,0,0,0.09
Test Drive: Eve of Destruction,XB,2004,Racing,Atari,0.07,0.02,0,0,0.09
Forgotten Realms: Demon Stone,XB,2004,Action,Atari,0.06,0.02,0,0,0.09
Terminator 3: The Redemption,XB,2004,Shooter,Atari,0.05,0.01,0,0,0.06
Backyard Skateboarding 2006,GBA,2004,Sports,Atari,0.04,0.02,0,0,0.06
Digimon Rumble Arena 2,GC,2004,Fighting,Atari,0.03,0.01,0,0,0.04
Asterix & Obelix: Kick Buttix,PS2,2004,Action,Atari,0.02,0.01,0,0,0.03
Neverwinter Nights Diamond,PC,2004,Role-Playing,Atari,0,0.02,0,0,0.03
Terminator 3: The Redemption,GC,2004,Shooter,Atari,0.02,0,0,0,0.02
Digimon Rumble Arena 2,XB,2004,Fighting,Atari,0.01,0,0,0,0.02
Unreal Tournament 2004,PC,2004,Shooter,Atari,0,0.01,0,0,0.02
Mission: Impossible - Operation Surma,GC,2004,Platform,Atari,0.01,0,0,0,0.02
Duel Masters: Shadow of the Code,GBA,2004,Misc,Atari,0.01,0,0,0,0.01
River City Ransom EX,GBA,2004,Action,Atlus,0.05,0.02,0,0,0.07
Pro Fishing Challenge,XB,2004,Sports,Atlus,0.02,0,0,0,0.02
Fallout: Brotherhood of Steel,PS2,2004,Role-Playing,Avalon Interactive,0.03,0.03,0,0.01,0.07
Fallout: Brotherhood of Steel,XB,2004,Role-Playing,Avalon Interactive,0.04,0.01,0,0,0.05
Carmen Sandiego: The Secret of the Stolen Drums,PS2,2004,Action,BAM! Entertainment,0.03,0.02,0,0.01,0.06
Carmen Sandiego: The Secret of the Stolen Drums,XB,2004,Action,BAM! Entertainment,0.02,0.01,0,0,0.02
Carmen Sandiego: The Secret of the Stolen Drums,GC,2004,Action,BAM! Entertainment,0.02,0,0,0,0.02
Super Robot Taisen MX,PS2,2004,Strategy,Banpresto,0,0,0.5,0,0.5
Konjiki no Gashbell!! Makai no Bookmark,GBA,2004,Adventure,Banpresto,0,0,0.25,0.01,0.26
Ultraman Fighting Evolution 3,PS2,2004,Fighting,Banpresto,0,0,0.01,0,0.01
IHRA Professional Drag Racing 2005,PS2,2004,Racing,Bethesda Softworks,0.09,0.07,0,0.02,0.19
IHRA Professional Drag Racing 2005,XB,2004,Racing,Bethesda Softworks,0.04,0.01,0,0,0.06
The Incredible Hulk: Ultimate Destruction,GC,2005,Action,Vivendi Games,0.11,0.03,0,0,0.15
Barbie Superpack: Secret Agent / Groovy Games,GBA,2005,Misc,Vivendi Games,0.1,0.04,0,0,0.15
Robots,DS,2005,Action,Vivendi Games,0.12,0.01,0,0.01,0.14
Crash Tag Team Racing,XB,2005,Racing,Vivendi Games,0.09,0.03,0,0,0.13
Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,GBA,2005,Misc,Vivendi Games,0.09,0.03,0,0,0.12
Cold Winter,PS2,2005,Shooter,Vivendi Games,0.06,0.04,0,0.01,0.11
Predator: Concrete Jungle,XB,2005,Action,Vivendi Games,0.07,0.02,0,0,0.1
Robots,XB,2005,Action,Vivendi Games,0.07,0.02,0,0,0.09
Barbie and the Magic of Pegasus,GBA,2005,Action,Vivendi Games,0.07,0.02,0,0,0.09
Red Ninja: End of Honor,PS2,2005,Action,Vivendi Games,0.02,0.02,0,0.01,0.04
Empire Earth II,PC,2005,Strategy,Vivendi Games,0,0.03,0,0,0.03
SWAT 4,PC,2005,Shooter,Vivendi Games,0,0.02,0,0,0.03
Red Ninja: End of Honor,XB,2005,Action,Vivendi Games,0.01,0,0,0,0.02
Top Gear RPM Tuning,XB,2005,Racing,Wanadoo,0.01,0,0,0,0.02
Friends: The One with All the Trivia,PS2,2005,Misc,Warner Bros. Interactive Entertainment,0.03,0.02,0,0.01,0.06
Big Mutha Truckers 2,PS2,2005,Racing,Xplosiv,0.1,0.07,0,0.03,0.2
DT Racer,PS2,2005,Racing,XS Games,0.06,0.05,0,0.02,0.13
D1 Professional Drift Grand Prix Series,PS2,2005,Racing,Yuke's,0.01,0.01,0,0,0.03
Cabela's Outdoor Adventures (2006),PS2,2005,Sports,Zoo Digital Publishing,0.17,0.14,0,0.05,0.35
Risk / Battleship / Clue,GBA,2005,Misc,Zoo Digital Publishing,0.25,0.09,0,0.01,0.34
Connect Four / Perfection / Trouble,GBA,2005,Misc,Zoo Digital Publishing,0.19,0.07,0,0,0.27
Sorry! / Aggravation / Scrabble Junior,GBA,2005,Misc,Zoo Digital Publishing,0.18,0.07,0,0,0.25
CandyLand / Chutes & Ladders / Memory,GBA,2005,Misc,Zoo Digital Publishing,0.15,0.05,0,0,0.2
The Game of Life / Yahtzee / Payday,GBA,2005,Misc,Zoo Digital Publishing,0.13,0.05,0,0,0.18
American Chopper 2: Full Throttle,PS2,2005,Racing,Zoo Digital Publishing,0.09,0.07,0,0.02,0.18
Paperboy / Rampage,GBA,2005,Misc,Zoo Digital Publishing,0.1,0.04,0,0,0.13
Pac-Man Pinball Advance,GBA,2005,Misc,Zoo Digital Publishing,0.08,0.03,0,0,0.11
Pac-Man World 2,GBA,2005,Action,Zoo Digital Publishing,0.08,0.03,0,0,0.11
Cabela's Outdoor Adventures,XB,2005,Sports,Zoo Digital Publishing,0.08,0.02,0,0,0.1
Ford Racing 3,DS,2005,Racing,Zoo Digital Publishing,0.09,0,0,0.01,0.1
Snood 2: On Vacation,DS,2005,Puzzle,Zoo Digital Publishing,0.09,0,0,0.01,0.09
Whac-A-Mole,DS,2005,Puzzle,Zoo Digital Publishing,0.07,0,0,0.01,0.08
Pong / Asteroids / Yars' Revenge,GBA,2005,Misc,Zoo Digital Publishing,0.05,0.02,0,0,0.07
Combat: Task Force 121,XB,2005,Shooter,Zoo Digital Publishing,0.05,0.02,0,0,0.07
Centipede / Breakout / Warlords,GBA,2005,Misc,Zoo Digital Publishing,0.05,0.02,0,0,0.07
Ford Racing 3,GBA,2005,Racing,Zoo Digital Publishing,0.04,0.02,0,0,0.06
Scrabble Blast!,GBA,2005,Misc,Zoo Digital Publishing,0.04,0.01,0,0,0.06
Ty the Tasmanian Tiger 3: Night of the Quinkan,GBA,2005,Action,Zoo Digital Publishing,0.04,0.01,0,0,0.05
American Chopper 2: Full Throttle,XB,2005,Racing,Zoo Digital Publishing,0.04,0.01,0,0,0.05
Millipede / Super Breakout / Lunar Lander,GBA,2005,Misc,Zoo Digital Publishing,0.03,0.01,0,0,0.04
Chicken Shoot,GBA,2005,Action,Zoo Digital Publishing,0.03,0.01,0,0,0.04
Big Mutha Truckers,GBA,2005,Racing,Zoo Digital Publishing,0.03,0.01,0,0,0.04
Chicken Shoot 2,GBA,2005,Adventure,Zoo Digital Publishing,0.02,0.01,0,0,0.03
Marble Madness / Klax,GBA,2005,Puzzle,Zoo Digital Publishing,0.02,0.01,0,0,0.03
Gauntlet / Rampart,GBA,2005,Misc,Zoo Digital Publishing,0.02,0.01,0,0,0.03
Spy Hunter / Super Sprint,GBA,2005,Racing,Zoo Digital Publishing,0.02,0.01,0,0,0.02
Ty the Tasmanian Tiger 3: Night of the Quinkan,XB,2005,Action,Zoo Digital Publishing,0.02,0.01,0,0,0.02
Whac-A-Mole,GBA,2005,Puzzle,Zoo Digital Publishing,0.01,0,0,0,0.01
Snood 2: On Vacation,GBA,2005,Puzzle,Zoo Digital Publishing,0.01,0,0,0,0.01
Pirates: Legend of the Black Buccaneer,PS2,2006,Adventure,10TACLE Studios,0.01,0.01,0,0,0.02
Cooking Mama,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
Wild ARMs 5,PS2,2006,Role-Playing,505 Games,0.14,0.11,0,0.04,0.28
Armored Core 4,PS3,2006,Simulation,505 Games,0.09,0,0.09,0.01,0.2
World Championship Poker: Howard Lederer - All In,PSP,2006,Misc,505 Games,0.13,0,0,0.01,0.14
Master Jin Jin's IQ Challenge,DS,2006,Misc,505 Games,0.13,0,0,0.01,0.14
Bust-A-Move Deluxe,PSP,2006,Puzzle,505 Games,0.13,0,0,0.01,0.14
Wild ARMs 5 (jp sales),PS2,2006,Role-Playing,505 Games,0,0,0.12,0,0.12
Touch Detective,DS,2006,Adventure,505 Games,0.06,0.03,0,0.01,0.1
Ar tonelico: Melody of Elemia,PS2,2006,Role-Playing,505 Games,0,0,0.1,0,0.1
Riviera: The Promised Land,PSP,2006,Role-Playing,505 Games,0.07,0,0.02,0.01,0.09
Chameleon,PSP,2006,Puzzle,505 Games,0.07,0,0,0.01,0.08
Deep Labyrinth,DS,2006,Action,505 Games,0.06,0,0,0,0.07
Shin Chan: Las Nuevas Aventuras Para Wii!,Wii,2006,Action,505 Games,0,0,0.07,0,0.07
Raw Danger! (JP sales),PS2,2006,Action,505 Games,0,0,0.06,0,0.06
Top Gun,DS,2006,Simulation,505 Games,0.04,0,0,0,0.04
Tony Hawk's Project 8,PSP,2006,Sports,Activision,0.41,0.08,0,0.07,0.56
Rapala Tournament Fishing!,Wii,2006,Sports,Activision,0.51,0,0,0.04,0.56
Over the Hedge,PS2,2006,Platform,Activision,0.45,0.02,0,0.07,0.54
Tony Hawk's Project 8,X360,2006,Sports,Activision,0.44,0.02,0,0.04,0.49
X-Men: The Official Game,PS2,2006,Action,Activision,0.2,0.16,0,0.05,0.41
Marvel: Ultimate Alliance,Wii,2006,Role-Playing,Activision,0.37,0.01,0,0.03,0.41
Marvel: Ultimate Alliance,PS3,2006,Role-Playing,Activision,0.33,0.02,0,0.04,0.39
Marvel: Ultimate Alliance,PSP,2006,Role-Playing,Activision,0.33,0,0,0.03,0.37
Over the Hedge,GC,2006,Platform,Activision,0.27,0.07,0,0.01,0.35
Over the Hedge,DS,2006,Platform,Activision,0.25,0.01,0,0.02,0.28
Over the Hedge,GBA,2006,Platform,Activision,0.19,0.07,0,0,0.27
Tony Hawk's Downhill Jam,DS,2006,Sports,Activision,0.2,0,0,0.02,0.22
X-Men: The Official Game,X360,2006,Action,Activision,0.16,0.01,0,0.01,0.17
World Series of Poker: Tournament of Champions 2007 Edition,X360,2006,Misc,Activision,0.15,0,0,0.01,0.16
X-Men: The Official Game,GC,2006,Action,Activision,0.12,0.03,0,0,0.15
The History Channel: Civil War - A Nation Divided,X360,2006,Shooter,Activision,0.13,0,0,0.01,0.14
Over the Hedge: Hammy Goes Nuts!,DS,2006,Platform,Activision,0.12,0,0,0.01,0.13
Shrek Smash n' Crash Racing,GC,2006,Racing,Activision,0.1,0.03,0,0,0.13
Cabela's Alaskan Adventure,X360,2006,Sports,Activision,0.12,0,0,0.01,0.13
Spider-Man: Battle for New York,DS,2006,Platform,Activision,0.12,0,0,0.01,0.13
Pimp My Ride,X360,2006,Racing,Activision,0.1,0.01,0,0.01,0.11
World Series of Poker: Tournament of Champions 2007 Edition,PSP,2006,Misc,Activision,0.1,0,0,0.01,0.11
X-Men: The Official Game,DS,2006,Action,Activision,0.1,0,0,0.01,0.11
X-Men: The Official Game,XB,2006,Action,Activision,0.08,0.02,0,0,0.1
Over the Hedge,XB,2006,Platform,Activision,0.07,0.02,0,0,0.1
Shrek Smash n' Crash Racing,PSP,2006,Racing,Activision,0.08,0,0,0.01,0.09
X-Men: The Official Game,GBA,2006,Action,Activision,0.05,0.02,0,0,0.07
Miami Vice: The Game,PSP,2006,Shooter,Activision,0.06,0,0,0,0.06
Greg Hastings' Tournament Paintball Max'd,GBA,2006,Shooter,Activision,0.02,0.01,0,0,0.03
The Hustle: Detroit Streets,XB,2006,Sports,Activision,0.01,0,0,0,0.02
LEGO Star Wars II: The Original Trilogy,PC,2006,Action,Activision,0,0.01,0,0,0.02
Marvel: Ultimate Alliance,PC,2006,Role-Playing,Activision,0.01,0,0,0,0.01
Greg Hastings' Tournament Paintball Max'd,PS2,2006,Shooter,Activision,0.01,0,0,0,0.01
Cabela's African Safari,X360,2006,Sports,Activision Value,0.13,0,0,0.01,0.14
Cabela's Dangerous Hunts: Ultimate Challenge,PSP,2006,Sports,Activision Value,0.06,0,0,0,0.06
Cabela's African Safari,PSP,2006,Sports,Activision Value,0.04,0,0,0,0.05
Parfait: Chocolat Second Style,PS2,2006,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22
Aria: The Natural ~Tooi Yume no Mirage~,PS2,2006,Adventure,Alchemist,0,0,0.02,0,0.02
Utawarerumono: Chiriyukusha e no Komoriuta,PS2,2006,Adventure,Aqua Plus,0,0,0.11,0,0.11
Yoake Yori Ruriiro na: Brighter than Dawning Blue,PS2,2006,Adventure,Aria,0,0,0.07,0,0.07
Tenshou Gakuen Gekkouroku,PS2,2006,Adventure,Asmik Ace Entertainment,0,0,0.04,0,0.04
Dragon Ball Z: Budokai Tenkaichi 2,PS2,2006,Fighting,Atari,0.66,0.02,0,0.11,0.79
Thrillville,PS2,2006,Strategy,Atari,0.55,0.02,0,0.09,0.66
Dragon Ball Z: Shin Budokai,PSP,2006,Fighting,Atari,0.26,0.08,0.13,0.07,0.55
Super Dragon Ball Z,PS2,2006,Fighting,Atari,0.09,0.07,0.19,0.02,0.37
Test Drive Unlimited,X360,2006,Racing,Atari,0.23,0.04,0.02,0.03,0.32
Dragon Ball Z: Budokai Tenkaichi 2,Wii,2006,Fighting,Atari,0.24,0.03,0,0.02,0.3
Driver: Parallel Lines,PS2,2006,Racing,Atari,0.12,0.1,0.03,0.03,0.28
Thrillville,PSP,2006,Strategy,Atari,0.18,0,0,0.02,0.2
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,2006,Fighting,Atari,0.14,0,0,0.01,0.16
Bullet Witch,X360,2006,Shooter,Atari,0.07,0.01,0.02,0.01,0.1
Point Blank DS (JP sales),DS,2006,Shooter,Atari,0,0,0.07,0,0.07
Driver: Parallel Lines,XB,2006,Racing,Atari,0.05,0.01,0,0,0.07
Mercury Meltdown,PSP,2006,Action,Atari,0.05,0.01,0,0.01,0.06
Blade Dancer: Lineage of Light,PSP,2006,Role-Playing,Atari,0.05,0,0,0,0.06
Point Blank DS (US sales),DS,2006,Shooter,Atari,0.05,0,0,0,0.06
GunPey,PSP,2006,Puzzle,Atari,0.05,0,0,0.01,0.06
Marc Ecko's Getting Up: Contents Under Pressure,PS2,2006,Action,Atari,0.03,0.02,0,0.01,0.05
GunPey DS,DS,2006,Puzzle,Atari,0.04,0,0,0,0.05
Battlezone,PSP,2006,Shooter,Atari,0.02,0,0,0,0.03
Neverwinter Nights 2,PC,2006,Role-Playing,Atari,0,0.02,0,0,0.03
Totally Spies! 2: Undercover,DS,2006,Action,Atari,0.01,0.01,0,0,0.02
Dragon Ball Z: Buu's Fury / Dragon Ball GT: Transformation,GBA,2006,Action,Atari,0.01,0.01,0,0,0.02
Tycoon City: New York,PC,2006,Strategy,Atari,0,0.02,0,0,0.02
25 to Life,PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42
Hitman: Blood Money,X360,2006,Action,Eidos Interactive,0.29,0.06,0.01,0.03,0.4
Tomb Raider: Legend,X360,2006,Action,Eidos Interactive,0.27,0.08,0.01,0.03,0.39
Justice League Heroes,PSP,2006,Role-Playing,Eidos Interactive,0.2,0.01,0,0.02,0.22
25 to Life,XB,2006,Shooter,Eidos Interactive,0.12,0.04,0,0.01,0.17
Just Cause,X360,2006,Action,Eidos Interactive,0.1,0.03,0.01,0.01,0.14
Hitman: Blood Money,XB,2006,Action,Eidos Interactive,0.11,0.03,0,0.01,0.14
Tomb Raider: Legend,XB,2006,Action,Eidos Interactive,0.1,0.03,0,0,0.13
Bionicle Heroes,GC,2006,Shooter,Eidos Interactive,0.08,0.02,0,0,0.11
Justice League Heroes,DS,2006,Role-Playing,Eidos Interactive,0.08,0,0,0.01,0.09
Tomb Raider: Legend,GC,2006,Action,Eidos Interactive,0.06,0.02,0,0,0.08
Tomb Raider: Legend,DS,2006,Action,Eidos Interactive,0.04,0.02,0,0.01,0.07
Bionicle Heroes,X360,2006,Shooter,Eidos Interactive,0.05,0.01,0,0.01,0.07
Escape from Bug Island,Wii,2006,Action,Eidos Interactive,0.04,0.01,0.01,0,0.06
Bionicle Heroes,DS,2006,Shooter,Eidos Interactive,0.06,0,0,0,0.06
Commandos: Strike Force,PS2,2006,Shooter,Eidos Interactive,0.03,0.02,0,0.01,0.06
Urban Chaos: Riot Response,PS2,2006,Shooter,Eidos Interactive,0.03,0.02,0,0.01,0.06
Rogue Trooper,PS2,2006,Shooter,Eidos Interactive,0.02,0.02,0,0.01,0.04
Hitman: Blood Money,PC,2006,Action,Eidos Interactive,0,0.03,0,0.01,0.04
Justice League Heroes: The Flash,GBA,2006,Action,Eidos Interactive,0.02,0.01,0,0,0.03
Commandos: Strike Force,XB,2006,Shooter,Eidos Interactive,0.02,0,0,0,0.02
Urban Chaos: Riot Response,XB,2006,Shooter,Eidos Interactive,0.01,0,0,0,0.02
